Country;Population;Land Area
Faeroe Islands;55,400;1,396
Saint Kitts & Nevis;46,843;260
American Samoa;46,765;200
Turks and Caicos;46,535;950
Northern Mariana Islands;44,278;460
Sint Maarten;43,350;34
Liechtenstein;39,870;160
British Virgin Islands;39,471;150
Gibraltar;39,329;10
Monaco;38,631;1
Marshall Islands;37,548;180
San Marino;33,581;60
Caribbean Netherlands;30,675;328
Saint Martin;26,129;53
Palau;17,695;460
Anguilla;14,598;90
Cook Islands;13,729;240
Nauru;11,947;20
Wallis & Futuna;11,277;140
Saint Barthelemy;11,258;21
Tuvalu;9,646;30
Saint Pierre & Miquelon;5,628;230
Saint Helena;5,237;390
Montserrat;4,389;100
Falkland Islands;3,470;12,170
Tokelau;2,506;10
Niue;1,819;260
Holy See;496;0
